iterations;stdDev;avgGradient;varGradient
1;16,91566;1,609267;0,7075959
10;16,91561;1,6092;0,7076331
50;16,91544;1,608826;0,7080613
100;16,91523;1,60834;0,7086317
500;16,91323;1,604566;0,7122643
1000;16,91094;1,600185;0,7164871
2000;16,90629;1,592068;0,7247328
5000;16,89458;1,572122;0,7449238
10000;16,8766;1,546439;0,7718077
20000;16,84199;1,509508;0,8056117
50000;16,73834;1,433901;0,8604544
100000;16,56936;1,352366;0,8893082
150000;16,40619;1,294422;0,8921891
200000;16,24597;1,247246;0,8857068

